cbsa20,cbsatype20,CBSAName20,state_puma
14460,Metro,"Boston-Cambridge-Newton, MA-NH",25-04903
11620,Micro,"Ardmore, OK",40-00602
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01406
31540,Metro,"Madison, WI",55-00102
34820,Metro,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",45-01101
24860,Metro,"Greenville-Anderson, SC",45-00400
14460,Metro,"Boston-Cambridge-Newton, MA-NH",25-02400
14460,Metro,"Boston-Cambridge-Newton, MA-NH",25-04902
17900,Metro,"Columbia, SC",45-00603
20820,Micro,"Effingham, IL",17-00501
17060,Micro,"Chillicothe, OH",39-04900
41620,Metro,"Salt Lake City, UT",49-35001
16700,Metro,"Charleston-North Charleston, SC",45-01204
46140,Metro,"Tulsa, OK",40-01201
16980,Metro,"Chicago-Naperville-Elgin, IL-IN-WI",17-03523
24860,Metro,"Greenville-Anderson, SC",45-00103
41620,Metro,"Salt Lake City, UT",49-35004
46140,Metro,"Tulsa, OK",40-01204
